SuccessFlag cost index outport
1.0 3.0 0 7.0
1.0 4.0 1 8.0
1.0 4.0 2 21.0
1.0 1.0 3 10.0
1.0 2.0 4 15.0
1.0 1.0 5 10.0
1.0 3.0 6 0.0
1.0 3.0 7 22.0
1.0 1.0 8 28.0
1.0 2.0 9 15.0
1.0 4.0 10 23.0
1.0 3.0 11 17.0
1.0 2.0 12 8.0
1.0 3.0 13 0.0
1.0 1.0 14 9.0
1.0 2.0 15 23.0
1.0 1.0 16 18.0
1.0 2.0 17 0.0
1.0 2.0 18 0.0
1.0 3.0 19 7.0
0.0 0.0 20 -1.0
1.0 1.0 21 28.0
1.0 2.0 22 0.0
1.0 1.0 23 19.0
1.0 1.0 24 18.0
1.0 2.0 25 0.0
1.0 2.0 26 23.0
1.0 2.0 27 0.0
0.0 0.0 28 -1.0
1.0 1.0 29 9.0
1.0 2.0 30 0.0
1.0 2.0 31 0.0
1.0 3.0 32 7.0
1.0 3.0 33 17.0
1.0 1.0 34 27.0
1.0 1.0 35 10.0
1.0 3.0 36 0.0
1.0 2.0 37 23.0
1.0 2.0 38 8.0
1.0 3.0 39 17.0
1.0 0.0 40 15.0
0.0 0.0 41 -1.0
1.0 4.0 42 21.0
1.0 3.0 43 0.0
1.0 3.0 44 0.0
1.0 2.0 45 16.0
1.0 3.0 46 17.0
1.0 3.0 47 7.0
1.0 2.0 48 0.0
1.0 2.0 49 15.0
1.0 3.0 50 23.0
1.0 2.0 51 24.0
1.0 2.0 52 0.0
1.0 1.0 53 28.0
1.0 1.0 54 19.0
1.0 1.0 55 18.0
1.0 2.0 56 16.0
1.0 2.0 57 0.0
1.0 1.0 58 10.0
1.0 2.0 59 16.0
1.0 2.0 60 24.0
1.0 0.0 61 17.0
0.0 0.0 62 -1.0
0.0 0.0 63 -1.0
0.0 0.0 64 -1.0
1.0 2.0 65 8.0
1.0 3.0 66 0.0
1.0 2.0 67 0.0
1.0 2.0 68 8.0
1.0 2.0 69 0.0
1.0 3.0 70 0.0
1.0 3.0 71 7.0
0.0 0.0 72 -1.0
1.0 1.0 73 10.0
1.0 2.0 74 0.0
1.0 2.0 75 8.0
1.0 3.0 76 0.0
1.0 3.0 77 0.0
1.0 2.0 78 0.0
1.0 2.0 79 0.0
1.0 1.0 80 9.0
1.0 2.0 81 8.0
1.0 1.0 82 10.0
0.0 0.0 83 -1.0
0.0 0.0 84 -1.0
1.0 2.0 85 0.0
1.0 2.0 86 0.0
0.0 0.0 87 -1.0
1.0 2.0 88 0.0
0.0 0.0 89 -1.0
0.0 0.0 90 -1.0
0.0 0.0 91 -1.0
1.0 0.0 92 15.0
1.0 2.0 93 0.0
1.0 4.0 94 8.0
1.0 2.0 95 0.0
1.0 3.0 96 7.0
1.0 3.0 97 17.0
1.0 0.0 98 15.0
1.0 2.0 99 0.0
1.0 2.0 100 0.0
1.0 3.0 101 7.0
1.0 2.0 102 0.0
1.0 3.0 103 7.0
1.0 2.0 104 0.0
0.0 0.0 105 0.0
0.0 0.0 106 -1.0
1.0 3.0 107 0.0
0.0 0.0 108 -1.0
1.0 1.0 109 10.0
1.0 2.0 110 0.0
1.0 2.0 111 0.0
1.0 2.0 112 0.0
1.0 3.0 113 7.0
1.0 0.0 114 22.0
1.0 2.0 115 16.0
1.0 2.0 116 16.0
1.0 2.0 117 24.0
1.0 1.0 118 18.0
1.0 2.0 119 0.0
0.0 0.0 120 -1.0
1.0 3.0 121 7.0
1.0 0.0 122 15.0
1.0 1.0 123 10.0
1.0 4.0 124 14.0
